"Bus","No","Time (abs)","State","ID (hex)","DLC","Data (hex)","ASCII"
"USB-to-CAN V2 compact  CAN-1","22,128","00:00:57.196","  E   ","18F00010","8","FF 70 FF FF FF FF FF 4B",".p.....K"
"USB-to-CAN V2 compact  CAN-1","22,129","00:00:57.196","  E   ","18FED910","8","1F FF FF FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,130","00:00:57.197","  E   "," CEFEF0B","8","AC FA 70 FF FF FF FF 70","..p....p"
"USB-to-CAN V2 compact  CAN-1","22,131","00:00:57.203","  E   "," C00000B","8","30 FF FF FA FF FF FF 63","0......c"
"USB-to-CAN V2 compact  CAN-1","22,132","00:00:57.205","  E   "," 8FE6E0B","8","E4 06 E8 06 E8 06 F0 06","........"
"USB-to-CAN V2 compact  CAN-1","22,133","00:00:57.205","  E   ","18FEBF0B","8","E6 06 7D 7D 7D 7D FF FF","..}}}}.."
"USB-to-CAN V2 compact  CAN-1","22,134","00:00:57.206","  E   "," CF00203","8","CD FF FE FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,135","00:00:57.207","  E   "," CEFEF0B","8","AC FA 70 FF FF FF FF 11","..p....."
"USB-to-CAN V2 compact  CAN-1","22,136","00:00:57.207","  E   ","18F0010B","8","40 00 F3 FF FF 01 FF F3","@......."
"USB-to-CAN V2 compact  CAN-1","22,137","00:00:57.209","  E   ","18FE4F0B","8","FF FF FF FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,138","00:00:57.211","  E   ","18FEAD0B","8","02 02 02 01 FE FE FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,139","00:00:57.214","  E   "," CF00203","8","CD FF FE FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,140","00:00:57.217","  E   "," CEFEF0B","8","AC FA 70 FF FF FF FF 22","..p...."""
"USB-to-CAN V2 compact  CAN-1","22,141","00:00:57.219","  E   ","18FDC40B","8","E0 09 FF F3 FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,142","00:00:57.224","  E   "," CF00203","8","CD FF FE FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,143","00:00:57.225","  E   "," 8FE6E0B","8","E0 06 DE 06 E0 06 E6 06","........"
"USB-to-CAN V2 compact  CAN-1","22,144","00:00:57.227","  E   "," CEFEF0B","8","AC FA 70 FF FF FF FF 33","..p....3"
"USB-to-CAN V2 compact  CAN-1","22,145","00:00:57.235","  E   "," CF00400","8","FF 7D 7D A8 16 FF FF FF",".}}....."
"USB-to-CAN V2 compact  CAN-1","22,146","00:00:57.235","  E   "," CF00203","8","CD FF FE FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,147","00:00:57.236","  E   "," CF00300","8","FD 00 FF FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,148","00:00:57.236","  E   ","18F00117","8","FF FF FF FF FF FF FF F3","........"
"USB-to-CAN V2 compact  CAN-1","22,149","00:00:57.237","  E   "," CEFEF0B","8","AC FA 70 FF FF FF FF 44","..p....D"
"USB-to-CAN V2 compact  CAN-1","22,150","00:00:57.237","  E   ","18F00503","8","FF FF FF 7E FF FF FF FF","...~...."
"USB-to-CAN V2 compact  CAN-1","22,151","00:00:57.238","  E   ","18FE4A03","8","FF FD C2 F0 FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,152","00:00:57.239","  E   ","18FE5127","8","7C FF FF FF FF FF FF FF","|......."
"USB-to-CAN V2 compact  CAN-1","22,153","00:00:57.239","  E   ","18FEDF00","8","7D FF FF FF FF FF FF FF","}......."
"USB-to-CAN V2 compact  CAN-1","22,154","00:00:57.240","  E   ","18FEDFEF","8","7D FF FF FF 7D FF FF FF","}...}..."
"USB-to-CAN V2 compact  CAN-1","22,155","00:00:57.240","  E   ","18FEF100","8","F3 40 07 1F FF FF FF FF",".@......"
"USB-to-CAN V2 compact  CAN-1","22,156","00:00:57.241","  E   ","18FF20EF","8","FA 70 4C 0B 70 EF FF 4B",".pL.p..K"
"USB-to-CAN V2 compact  CAN-1","22,157","00:00:57.245","  E   "," 8FE6E0B","8","DA 06 CE 06 D6 06 DC 06","........"
"USB-to-CAN V2 compact  CAN-1","22,158","00:00:57.245","  E   "," CF00203","8","CD FF FE FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,159","00:00:57.246","  E   ","18F00010","8","FF 70 FF FF FF FF FF 4B",".p.....K"
"USB-to-CAN V2 compact  CAN-1","22,160","00:00:57.247","  E   "," CEFEF0B","8","AC FA 70 FF FF FF FF 55","..p....U"
"USB-to-CAN V2 compact  CAN-1","22,161","00:00:57.255","  E   ","18FEBF0B","8","CF 06 7D 7D 7D 7D FF FF","..}}}}.."
"USB-to-CAN V2 compact  CAN-1","22,162","00:00:57.255","  E   "," CF00203","8","CD FF FE FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,163","00:00:57.257","  E   "," CEFEF0B","8","AC FA 70 FF FF FF FF 66","..p....f"
"USB-to-CAN V2 compact  CAN-1","22,164","00:00:57.265","  E   "," 8FE6E0B","8","D2 06 C4 06 D0 06 D4 06","........"
"USB-to-CAN V2 compact  CAN-1","22,165","00:00:57.265","  E   "," CF00203","8","CD FF FE FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,166","00:00:57.267","  E   "," CEFEF0B","8","AC FA 70 FF FF FF FF 77","..p....w"
"USB-to-CAN V2 compact  CAN-1","22,167","00:00:57.275","  E   "," CF00203","8","CD FF FE FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,168","00:00:57.277","  E   "," CEFEF0B","8","AC FA 70 FF FF FF FF 70","..p....p"
"USB-to-CAN V2 compact  CAN-1","22,169","00:00:57.284","  E   "," CF00300","8","FD 00 FF FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,170","00:00:57.285","  E   "," 8FE6E0B","8","C8 06 C2 06 C6 06 CA 06","........"
"USB-to-CAN V2 compact  CAN-1","22,171","00:00:57.286","  E   "," CF00203","8","CD FF FE FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,172","00:00:57.286","  E   ","18FF20EF","8","FA 70 2C 0B 70 EF FF 4B",".p,.p..K"
"USB-to-CAN V2 compact  CAN-1","22,173","00:00:57.287","  E   "," CEFEF0B","8","AC FA 70 FF FF FF FF 11","..p....."
"USB-to-CAN V2 compact  CAN-1","22,174","00:00:57.294","  E   "," CF00203","8","CD FF FE FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,175","00:00:57.295","  E   ","18F00010","8","FF 70 FF FF FF FF FF 4B",".p.....K"
"USB-to-CAN V2 compact  CAN-1","22,176","00:00:57.295","  E   ","18FED910","8","1F FF FF FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,177","00:00:57.297","  E   "," CEFEF0B","8","AC FA 70 FF FF FF FF 22","..p...."""
